"schema--table--sql: BENCHMARKSQL--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='BENCHMARKSQL'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
TEST_FKTB_1821,100
TEST_FKTB_1822,100
TEST_FKTB_1823,100
TEST_FKTB_1824,100
TEST_FKTB_1825,100
TEST_FKTB_1826,100
TEST_FKTB_1827,100
TEST_FKTB_1828,100
TEST_FKTB_1829,100
TEST_FKTB_183,100
TEST_FKTB_1830,100
TEST_FKTB_1831,100
TEST_FKTB_1832,100
TEST_FKTB_1833,100
TEST_FKTB_1834,100
TEST_FKTB_1835,100
TEST_FKTB_1836,100
TEST_FKTB_1837,100
TEST_FKTB_1838,100
TEST_FKTB_1839,100
TEST_FKTB_184,100
TEST_FKTB_1840,100
TEST_FKTB_1841,100
TEST_FKTB_1842,100
TEST_FKTB_1843,100
TEST_FKTB_1844,100
TEST_FKTB_1845,100
TEST_FKTB_1846,100
TEST_FKTB_1847,100
TEST_FKTB_1848,100
TEST_FKTB_1849,100
TEST_FKTB_185,100
TEST_FKTB_1850,100
TEST_FKTB_1851,100
